,year,annual_rainfall,CO2,avgtemp_anom_SP
0,1961.0,144.1,637413757.0,1.9904166666666667
1,1962.0,577.0000000000001,691045205.0,1.8320833333333335
2,1963.0,362.69999999999993,746596143.0,2.1991666666666663
3,1964.0,418.40000000000003,803262819.0,2.308333333333334
4,1965.0,649.9000000000002,859592436.0,1.4833333333333332
5,1966.0,775.1,923804071.0,2.0450000000000004
6,1967.0,600.0000000000002,989883479.0,1.4174999999999995
7,1968.0,365.3,1067154853.0,2.615
8,1969.0,511.99999999999994,1151287562.0,1.980833333333333
9,1970.0,452.0000000000001,1244818056.0,1.9875
10,1971.0,585.9000000000001,1347175998.0,2.545
11,1972.0,740.6000000000001,1461190326.0,1.8349999999999997
12,1973.0,518.3999999999999,1593209936.0,2.435833333333333
13,1974.0,421.20000000000005,1736137249.0,1.9949999999999999
14,1975.0,454.90000000000003,1886650908.0,1.9366666666666665
15,1976.0,1044.0999999999997,2041048983.0,2.379166666666667
16,1977.0,631.1,2203127321.0,1.6541666666666661
17,1978.0,711.9999999999999,2379058800.0,2.1749999999999994
18,1979.0,582.5999999999998,2566213859.0,1.6650000000000003
19,1980.0,480.40000000000003,2751972189.0,1.9825000000000002
20,1981.0,679.8,2922440099.0,2.246666666666666
21,1982.0,555.4,3093229445.0,1.7208333333333334
22,1983.0,111.49999999999999,3258656405.0,2.1333333333333333
23,1984.0,461.2999999999999,3426261994.0,2.2441666666666666
24,1985.0,550.7,3606198798.0,2.2591666666666663
25,1986.0,746.1000000000001,3803425015.0,2.2075
26,1987.0,570.7000000000002,4009213756.0,2.4158333333333335
27,1988.0,415.20000000000005,4216776724.0,2.311666666666667
28,1989.0,635.0000000000002,4428890368.0,2.489166666666667
29,1990.0,503.49999999999983,4635811488.0,3.2874999999999996
30,1991.0,884.1000000000001,4853038960.0,1.949166666666667
31,1992.0,684.4,5071422464.0,1.8825000000000003
32,1993.0,409.7999999999999,5299755680.0,2.4716666666666667
33,1994.0,477.10000000000014,5539226400.0,2.3375
34,1995.0,737.8,5794809776.0,1.783333333333333
35,1996.0,1142.5000000000002,6076004560.0,2.5216666666666665
36,1997.0,461.3000000000002,6372589816.0,2.1200000000000006
37,1998.0,915.4,6680895536.0,2.3649999999999998
38,1999.0,686.6000000000001,6997177976.0,2.443333333333334
39,2000.0,498.80000000000007,7321404016.0,2.2716666666666674
40,2001.0,482.59999999999997,7654391416.0,2.4299999999999997
41,2002.0,553.0,7981826248.0,2.3008333333333337
42,2003.0,527.7,8299334696.0,2.2266666666666666
43,2004.0,651.4999999999999,8633009840.0,1.9466666666666665
44,2005.0,468.00000000000017,8975096312.0,1.6941666666666666
45,2006.0,1071.9000000000003,9317042680.0,2.176666666666667
46,2007.0,619.7000000000002,9673961432.0,2.311666666666667
47,2008.0,631.3000000000001,10054306360.0,1.8116666666666665
48,2009.0,691.8999999999999,10414397136.0,2.241666666666667
49,2010.0,796.6000000000005,10825637328.0,2.195
50,2011.0,730.4000000000002,11255832230.0,2.1649999999999996
51,2012.0,618.0,11715895322.0,2.250833333333333
52,2013.0,498.8,12209488834.0,2.098333333333333
53,2014.0,363.5,12729015183.0,2.5974999999999997
54,2015.0,820.0999999999998,13241097065.0,2.3033333333333332
55,2016.0,605.0000000000001,13714838441.0,2.5683333333333334
